test_name,n_banks,read_latency,b_bp,r_bp,writes,reads,b_resp,r_resp,data_mismatches,hazards_tolerated,order_violations,slverr,invalid_wr,invalid_rd,avg_lat_wr_cyc,min_lat_wr_cyc,max_lat_wr_cyc,avg_lat_rd_cyc,min_lat_rd_cyc,max_lat_rd_cyc,throughput_wr,throughput_rd,sim_time_cyc
mem_full_test,16,1,0,0,3900,3450,3800,3350,0,1,0,0,100,100,4.25,4.0,9.0,10.33,6.0,97.0,0.193,0.17,19708
mem_full_test,16,1,0,0,3900,3450,3800,3350,0,1,0,0,100,100,4.25,4.0,9.0,10.33,6.0,97.0,0.193,0.17,19708
mem_full_test,16,1,0,0,3900,3450,3800,3350,0,0,0,0,100,100,4.11,4.0,8.0,6.13,6.0,10.0,0.092,0.081,41202
mem_full_test,16,4,0,0,3900,3450,3800,3350,0,2,0,0,100,100,4.53,4.0,15.0,41.9,11.0,214.0,0.162,0.14300000000000002,23446
mem_full_test,16,4,0,0,3900,3450,3800,3350,0,2,0,0,100,100,4.53,4.0,15.0,41.9,11.0,214.0,0.162,0.14300000000000002,23446
mem_full_test,16,4,0,0,3900,3450,3800,3350,0,0,0,0,100,100,4.11,4.0,8.0,40.55,11.0,73.0,0.081,0.07200000000000001,46630
mem_full_test,4,1,0,0,2700,2250,2600,2150,0,3,0,0,100,100,4.34,4.0,9.0,10.14,6.0,97.0,0.182,0.151,14248
mem_full_test,4,1,0,0,2700,2250,2600,2150,0,3,0,0,100,100,4.34,4.0,9.0,10.14,6.0,97.0,0.182,0.151,14248
mem_full_test,4,1,0,0,2700,2250,2600,2150,0,0,0,0,100,100,4.08,4.0,7.0,6.1,6.0,10.0,0.086,0.071,30312
mem_full_test,4,4,0,0,2700,2250,2600,2150,0,30,0,0,100,100,6.34,4.0,26.0,45.67,11.0,112.0,0.17600000000000002,0.145,14798
mem_full_test,4,4,0,0,2700,2250,2600,2150,0,30,0,0,100,100,6.34,4.0,26.0,45.67,11.0,112.0,0.17600000000000002,0.145,14798
mem_full_test,4,4,0,0,2700,2250,2600,2150,0,0,0,0,100,100,4.08,4.0,7.0,26.63,11.0,73.0,0.08199999999999999,0.068,31674
mem_full_test,8,1,0,0,3100,2650,3000,2550,0,2,0,0,100,100,4.25,4.0,9.0,10.33,6.0,97.0,0.18600000000000003,0.158,16090
mem_full_test,8,1,0,0,3100,2650,3000,2550,0,2,0,0,100,100,4.25,4.0,9.0,10.33,6.0,97.0,0.18600000000000003,0.158,16090
mem_full_test,8,1,0,0,3100,2650,3000,2550,0,0,0,0,100,100,4.08,4.0,7.0,6.1,6.0,10.0,0.08800000000000001,0.075,33964
mem_full_test,8,4,0,0,3100,2650,3000,2550,0,3,0,0,100,100,5.03,4.0,16.0,33.48,11.0,226.0,0.175,0.14800000000000002,17182
mem_full_test,8,4,0,0,3100,2650,3000,2550,0,3,0,0,100,100,5.03,4.0,16.0,33.48,11.0,226.0,0.175,0.14800000000000002,17182
mem_full_test,8,4,0,0,3100,2650,3000,2550,0,0,0,0,100,100,4.08,4.0,7.0,30.94,11.0,73.0,0.08199999999999999,0.07,36668
